ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,Calle,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,COMUNA_NOMBRE,COMUNA_POB,DIA_SEMANA_NUM,DIA_SEMANA_STR
2016-0044,1,2016-03-31,2016,3,31,19.0,AVENIDA,"MORENO, JOSE MARIA AV.","MORENO, JOSE MARIA AV. y BALBASTRO",7.0,-58.43213235,-34.63693953,MOTO,MULTIPLE,"Flores, Parque Chacabuco",216832.0,3,Jueves
2016-0045,1,2016-04-11,2016,4,11,10.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13.0,-58.46743471,-34.53476874,MOTO,,"Núñez, Belgrano, Colegiales",265199.0,0,Lunes
2016-0047,1,2016-04-15,2016,4,15,5.0,CALLE,LIMA,LIMA 1483,1.0,-58.38247061,-34.62571878,PEATON,PASAJEROS,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,4,Viernes
2016-0048,1,2016-04-15,2016,4,15,17.0,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y DORREGO AV.,15.0,-58.44759966,-34.5917024,PEATON,PASAJEROS,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía, Parque Chas",197903.0,4,Viernes
2016-0049,1,2016-04-17,2016,4,17,0.0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4.0,-58.37714647568196,-34.63657525428238,,,"Barracas, La Boca",230945.0,6,Domingo
2016-0050,1,2016-04-19,2016,4,19,9.0,AVENIDA,"GORDILLO, TIMOTEO","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8.0,-58.47305463,-34.68550712,PEATON,PASAJEROS,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,1,Martes
2016-0051,1,2016-04-20,2016,4,20,4.0,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4.0,-58.40623949,-34.65076549,MOTO,CARGAS,"Barracas, La Boca",230945.0,2,Miércoles
2016-0052,1,2016-04-20,2016,4,20,20.0,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,13.0,,,MOTO,,"Núñez, Belgrano, Colegiales",265199.0,2,Miércoles
2016-0053,1,2016-04-22,2016,4,22,9.0,AVENIDA,TRIUNVIRATO AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12.0,-58.4842918,-34.57558053,PEATON,PASAJEROS,"Coghlan, Saavedra, Villa Urquiza, Villa Pueyrredón",236294.0,4,Viernes
2016-0054,1,2016-04-23,2016,4,23,21.0,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8.0,-58.48695354,-34.68795245,MOTO,MOTO,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,5,Sábado
2016-0055,1,2016-04-25,2016,4,25,20.0,AVENIDA,"CASTILLA, RAMON, MARISCAL","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14.0,-58.40021959,-34.57964781,PEATON,CARGAS,Palermo,249016.0,0,Lunes
2016-0056,1,2016-04-26,2016,4,26,4.0,AVENIDA,"CAMPOS, LUIS M. AV.","CAMPOS, LUIS M. AV. 30",14.0,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,Palermo,249016.0,1,Martes
