ID_HECHO,FECHA,AAAA,MM,DD,HH,DIA_SEMANA_NUM,DIA_SEMANA_STR,N_VICTIMAS,ACUSADO,VICTIMA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,COMUNA,COMUNA_NOMBRE,COMUNA_POB,TIPO_DE_CALLE,CALLE,DIRE_NOR,POSX,POSY
2016-0038,2016-03-21,2016,3,21,8.0,0,Lunes,1,PASAJEROS,PEATON,PEATON,MASCULINO,29.0,2016-03-21,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ZUVIRIA",-58.49683458,-34.67892743
2016-0039,2016-03-23,2016,3,23,1.0,2,Miércoles,1,PASAJEROS,MOTO,CONDUCTOR,MASCULINO,20.0,2016-03-23,3.0,"San Cristóbal, Balvanera",236294.0,AVENIDA,"MITRE, BARTOLOME","MITRE, BARTOLOME y PUEYRREDON AV.",-58.40603217,-34.6088396
2016-0041,2016-03-29,2016,3,29,11.0,1,Martes,2,CARGAS,MOTO,CONDUCTOR,MASCULINO,54.0,2016-03-29,7.0,"Flores, Parque Chacabuco",216832.0,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,-58.4607655,-34.63350444
2016-0041,2016-03-29,2016,3,29,11.0,1,Martes,2,CARGAS,MOTO,PASAJERO_ACOMPAÑANTE,MASCULINO,,2016-03-30,7.0,"Flores, Parque Chacabuco",216832.0,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,-58.4607655,-34.63350444
2016-0043,2016-03-30,2016,3,30,18.0,2,Miércoles,1,CARGAS,PEATON,PEATON,FEMENINO,56.0,2016-03-30,8.0,"Villa Soldati, Villa Riachuelo, Villa Lugano",204842.0,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.","DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",-58.47832463,-34.67494416
2016-0044,2016-03-31,2016,3,31,19.0,3,Jueves,1,MULTIPLE,MOTO,CONDUCTOR,MASCULINO,24.0,2016-03-31,7.0,"Flores, Parque Chacabuco",216832.0,AVENIDA,"MORENO, JOSE MARIA AV.","MORENO, JOSE MARIA AV. y BALBASTRO",-58.43213235,-34.63693953
2016-0045,2016-04-11,2016,4,11,10.0,0,Lunes,1,,MOTO,CONDUCTOR,MASCULINO,,,13.0,"Núñez, Belgrano, Colegiales",265199.0,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",-58.46743471,-34.53476874
2016-0047,2016-04-15,2016,4,15,5.0,4,Viernes,1,PASAJEROS,PEATON,PEATON,MASCULINO,41.0,2016-04-15,1.0,"Retiro, San Nicolás, Puerto Madero, San Telmo, Monserrat, Constitución",223282.0,CALLE,LIMA,LIMA 1483,-58.38247061,-34.62571878
2016-0048,2016-04-15,2016,4,15,17.0,4,Viernes,1,PASAJEROS,PEATON,PEATON,FEMENINO,,,15.0,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía, Parque Chas",197903.0,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y DORREGO AV.,-58.44759966,-34.5917024
2016-0049,2016-04-17,2016,4,17,0.0,6,Domingo,1,,,,,,,4.0,"Barracas, La Boca",230945.0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,-58.37714647568196,-34.63657525428238
